quakecon clan counts as of 08/02/2015 15:14
     A59-04 Lacdannan
     A59-05 Oricseviltwin
     A59-06 Aazzen
C4 Yourself --- 8
     B59-13 Nytlight
     B59-14 themitch22
     B59-15 doug45vamp
     B59-16 Hydronine
     B59-17 SnoochieBooch
     B60-14 Azureion
     B60-15 bubblymiss
     B61-13 WatermelonDaiquiri
Casual Mode --- 8
     A68-01 Banguin
     A68-02 Wastrel
     A68-03 Narwhalrus
     A69-01 Derel1ct
     A69-02 Gobbledeguk
     A69-03 Phyurie
     A69-04 Andrey
     A70-01 Redbeard
Distinguished Men of Class --- 8
     B28-13 Reserved
     B28-14 betsybacon
     B28-15 Reserved
     B29-13 OddJob
     B29-14 Rocker32703
     B29-15 BanjoBurrito34
     B29-16 Corporal Carnage
     B29-17 Jeager Bombastic
Fragging Fraggots --- 8
     A51-01 PhreqE
     A51-02 Mattcito
     A51-03 coolstorybro34
     A51-04 FoxgirlSaika
     A51-06 Adofo
     A51-07 Frozen Iguana
     A51-08 aZsLaVe
     A53-04 Lord_Dad
IMB --- 8
     B72-08 RockManiac44R
     B72-09 Don
     B72-10 Churr
     B72-11 Willlethekid
     B72-14 Toast Buddy
     B73-07 Dubstepbooty
     B73-08 LordGooch
     B73-09 jaiiirooooooooo
NPG --- 8
     B12-11 NeoNed
     B12-12 Hito
     B12-13 BoneHavoc
     B12-14 DEagle
     B12-15 Joe Bobber
     B12-16 IcemanTex
     B13-13 SteelKage
     B13-14 KarenC
Really Old Men --- 8
     B56-19 Nikithugs
     B56-20 The American
     B56-21 Raccoon Jesus
     B56-22 Tulbuckea
     B57-19 Avenger3611
     B57-20 Tea
     B57-21 Alleyopaa
     B57-22 Bakingsoda Armscrong
SVGA --- 8
     C10-09 rosebud
     C10-10 Lhogan
     C10-11 Reserved
     C10-12 Rhayze
     C11-09 BadCraziness
     C11-10 Synesius
     C11-11 Eradicator
     C11-12 NuRV
TheMetro --- 8
     A16-07 Docmooru
     B11-12 CaptainBarrel
     B11-14 MothaChicken
     B11-15 Pyrn
     B11-16 Ibotah
     B11-17 AlexBilliams
     B11-18 Hi im salami
     B11-19 Abigantimos
Xmas Lights --- 8
     C27-07 cooljoebob64
     C27-08 Reserved
     C27-09 Jamwise Slamjee
     C27-10 Ein2015
     C27-11 cdasreichk
     C28-10 Ironhawk
     C28-11 Aznwaifu
     C28-12 LSOne
[k^3] --- 8
     B12-22 fedmanwinz
     B13-15 Mxlplxn
     B13-16 Gaul
     B13-17 wh173b0y
     B13-18 JickMagger
     B13-19 Rail
     B13-21 mUH
     B13-22 deathtripp0
#JustQuakeconThings --- 7
     B41-21 Nobelium
     B41-22 Guardian
     B42-20 Laikan
     B42-22 Sw1f7
     B43-19 Agentwise
     B43-22 Psalms
     C35-02 MorningWhood
ACD --- 7
     C58-01 pf
     C58-02 Synch
     C58-03 ab
     C58-04 Dofley
     C59-01 pixel5
     C59-02 tubes
     C59-03 RAZERGLASS
Caveman Clan --- 7
     B06-16 Duffman
     B06-17 Mr. Barley M. Pushing
     B06-18 Nox
     B06-19 ohhaimark
     B07-17 DJ PHRE$$$HE
     B07-18 Loser
     B07-19 ReptarUnchained
Daz Clan --- 7
